Time (t) , Room temperature(T(t))
131.40, 12.7662
131.50, 12.7633
131.60, 12.7604
131.70, 12.7575
131.80, 12.7546
131.90, 12.7517
132.00, 12.7488
132.10, 12.7459
132.20, 12.7430
132.30, 12.7402
132.40, 12.7373
132.50, 12.7344
132.60, 12.7315
132.70, 12.7287
132.80, 12.7258
132.90, 12.7229
133.00, 12.7201
133.10, 12.7172
133.20, 12.7144
133.30, 12.7115
133.40, 12.7087
133.50, 12.7058
133.60, 12.7030
133.70, 12.7002
133.80, 12.6973
133.90, 12.6945
134.00, 12.6917
134.10, 12.6888
134.20, 12.6860
134.30, 12.6832
134.40, 12.6804
134.50, 12.6776
134.60, 12.6747
134.70, 12.6719
134.80, 12.6691
134.90, 12.6663
135.00, 12.6635
135.10, 12.6607
135.20, 12.6579
135.30, 12.6551
135.40, 12.6524
135.50, 12.6496
135.60, 12.6468
135.70, 12.6440
135.80, 12.6412
135.90, 12.6385
136.00, 12.6357
136.10, 12.6329
136.20, 12.6302
136.30, 12.6274
136.40, 12.6246
136.50, 12.6219
136.60, 12.6191
136.70, 12.6164
136.80, 12.6136
136.90, 12.6109
137.00, 12.6081
137.10, 12.6054
137.20, 12.6027
137.30, 12.5999
137.40, 12.5972
137.50, 12.5945
137.60, 12.5918
137.70, 12.5890
137.80, 12.5863
137.90, 12.5836
138.00, 12.5809
138.10, 12.5782
138.20, 12.5755
138.30, 12.5728
138.40, 12.5701
138.50, 12.5674
138.60, 12.5647
138.70, 12.5620
138.80, 12.5593
138.90, 12.5566
139.00, 12.5539
